Shape,Result,Number,Time
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2190,11.196356296539307
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1270,11.19557237625122
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,788,11.195164203643799
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1771,11.196016788482666
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1613,11.195878505706787
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1255,11.195560455322266
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2003,11.196205139160156
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,449,11.194874048233032
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,790,11.195165634155273
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,422,11.194852828979492
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2211,11.196372270584106
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,314,11.194766998291016
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1968,11.196177005767822
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1499,11.195788145065308
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,119,11.194547891616821
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2138,11.196314096450806
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,116,11.19454550743103
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,10,11.194454193115234
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1085,11.195398092269897
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1975,11.19618272781372
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1390,11.19566798210144
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,457,11.19488000869751
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1113,11.195420742034912
